identifiant,week_day,date,time,type_event,phase,location,country,total_occupants,total_fatalities,aircraft_damage,aircraft_fate,type_aircraft,number_engines,type_engines,first_flight,cycles,total_airframe_hours,registration,c_n_msn,operator,nature,flight_number,departure_airport_name,departure_airport_IATA,departure_airport_ICAO,departure_airport_country,destination_airport_name,destination_airport_IATA,destination_airport_ICAO,destination_airport_country,crew_number,passengers_number,crew_fatalities,passengers_fatalities,collision_casualties,ground_casualties,status
19710916-1,Thursday,16-SEP-1971,-,A1, En route (ENR),"Rajince, Presevo",Serbia,5,5, Damaged beyond repair,-,Douglas C-47A-20-DL (DC-3),2,Pratt & Whitney R-1830-92,1943,-,-, 4W-ABI, 9334,Yemen Airlines,Int'l Non Scheduled Passenger,-,Beograd Airport,BEG,LYBE,Serbia,-,-,-,-,2,3,2,3,-,-,-
19710916-2,Thursday,16-SEP-1971,11:43,A1, Approach (APR),near Kiev-Borispol Airport (KBP),Ukraine,49,49, Damaged beyond repair,-,Tupolev Tu-134,-,-,1969,-,-, HA-LBD, 9350801,Malev,International Scheduled Passenger, 110,Budapest-Ferihegy Airport,BUD,LHBP,Hungary,Kiev-Borispol Airport,KBP,UKBB,Ukraine,8,41,8,41,-,-,-
19710916-3,Thursday,16-SEP-1971,-,H2, En route (ENR),at an unknown location,Unknown country,-,0, Unknown,-,Sud-Aviation SE-210 Caravelle,-,-,-,-,-, registration unknown,-,Alia,International Scheduled Passenger,-,Beirut International Airport,BEY,OLBA,Lebanon,Amman-Marka International Airport,ADJ,OJAM,Jordan,-,-,0,0,-,-,-
19710916-4,Thursday,16-SEP-1971,-,A1, Unknown (UNK),unknown,Russia,-,0, Damaged beyond repair,-,Beriev Be-30,-,-,1971,-,-, CCCP-67207, OS0600103,Aeroflot / Central Region,Unknown,-,-,-,-,-,-,-,-,-,-,-,0,0,-,-,-
19710917-0,Friday,17-SEP-1971,13:20,A1, Landing (LDG),"Sarasota Airport, FL (SRQ)",United States of America,2,0, Substantial, Written off (damaged beyond repair),Canadair C-54GM North Star,4,Rolls-Royce Merlin 622,1948,-,21674.0, CF-UXB, 117,Cavalier Aircraft Corp.,Executive,-,Sarasota-Bradenton Airport,SRQ,KSRQ,United States of America,Miami International Airport,MIA,KMIA,United States of America,2,0,0,0,-,-,Final
19710917-1,Friday,17-SEP-1971,-,C1, En route (ENR),E of Suez Canal,Egypt,8,7, Damaged beyond repair,-,Boeing KC-97G Stratofreighter,-,-,-,-,-, 4X-FPR/033, 16714,Israeli AF,Military,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
19710919-0,Sunday,19-SEP-1971,-,A1, Unknown (UNK),within Bulgaria,Bulgaria,-,1, Damaged beyond repair,-,Antonov An-2,-,-,-,-,-, LZ-...,-,Unknown,Unknown,-,-,-,-,-,-,-,-,-,-,-,1,0,-,-,-
19710924-0,Friday,24-SEP-1971,-,H2, Standing (STD),"Detroit-Metropolitan Wayne County Airport, MI (DTW)",United States of America,76,0, None,-,Boeing 727,-,-,-,-,-, registration unknown,-,American Airlines,Domestic Scheduled Passenger,AA124,Detroit-Metropolitan Wayne County Airport,DTW,KDTW,United States of America,-,-,-,-,5,71,0,0,-,-,-
19710925-0,Saturday,25-SEP-1971,-,A1, Unknown (UNK),near Tokko,Russia,-,0, Damaged beyond repair,-,Antonov An-2,-,-,-,-,-, CCCP-98281, 110147307,Aeroflot / Yakutsk,Unknown,-,-,-,-,-,-,-,-,-,-,-,0,0,-,-,-
19710927-0,Monday,27-SEP-1971,-,A1, Unknown (UNK),"Deer Lake Airport, NL (YDF)",Canada,-,-, Damaged beyond repair,-,de Havilland Canada DHC-3 Otter,-,-,1960,-,-, CF-MPZ, 328,RCMP,Unknown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
